Name;Date;Close/Last;Volume;Open;High;Low
DIS;01/27/2023;109,54;10249680;109,26;110,58;109,16
DIS;02/07/2023;111,63;10843980;109,29;112,12;108,86
DIS;02/06/2023;109,87;11956540;110,17;110,43;108,53
DIS;01/30/2023;107,59;8548547;108,26;108,97;107,48
DIS;01/31/2023;108,49;8251663;107,58;108,71;107,45
DIS;02/10/2023;108,06;15565990;108,96;109,74;107,21
DIS;02/01/2023;109,39;9975481;108,5;109,94;106,9
DIS;02/15/2023;109,24;8163490;107,09;109,27;106,7
DIS;02/13/2023;107,66;12341480;108,1;108,28;106,55
DIS;02/16/2023;105,83;9479922;107,55;108,02;105,7
DIS;01/25/2023;108,12;10008040;104,96;108,16;104,18
DIS;02/17/2023;105,22;9492184;105,03;105,8;103,88
DIS;05/09/2023;102,18;6829880;102,91;102,98;102,09
DIS;01/24/2023;106;8606723;105,39;108,44;102
DIS;02/21/2023;102,09;10648210;103,55;103,73;101,83
DIS;05/08/2023;102,97;10810140;101,7;103,91;101,69
DIS;02/22/2023;101,68;9885101;101,33;102,56;101,09
DIS;05/03/2023;100,86;7772064;101,06;102,58;100,64
DIS;03/06/2023;100,66;6773261;101,61;102,69;100,49
DIS;04/11/2023;100,42;7504624;101,16;101,91;100,29
DIS;02/27/2023;100,45;6641212;100,73;101,47;100,06
DIS;05/10/2023;101,14;19525150;103;103,25;100,04
DIS;05/02/2023;100,6;6955902;101,33;101,69;99,62
DIS;02/28/2023;99,61;8233743;100,45;100,75;99,57
DIS;04/03/2023;99,76;7313201;100,21;100,43;99,27
DIS;04/17/2023;100,3;6705269;99,57;100,57;99,15
DIS;04/28/2023;102,5;11329690;99,37;102,56;99,08
DIS;02/24/2023;100,3;8523000;99,53;100,43;98,96
DIS;04/14/2023;99,9;7337250;100,5;100,86;98,93
DIS;04/10/2023;100,81;8016576;99,3;100,81;98,9
DIS;03/07/2023;99,06;6951340;100,4;100,94;98,89
DIS;03/03/2023;101,14;7434264;99,67;101,18;98,88
DIS;04/04/2023;99,57;6794168;100,3;100,42;98,76
DIS;04/24/2023;99,68;8540571;100,14;100,73;98,67
DIS;04/06/2023;99,97;7042486;99,44;100,32;98,55
DIS;04/13/2023;100,84;8744977;98,51;101,07;98,51
DIS;03/31/2023;100,13;8919965;98,89;100,2;98,5
DIS;03/08/2023;99,3;5668738;99;99,62;98,3
DIS;05/05/2023;100,52;9300109;98,59;100,84;98,11
DIS;03/01/2023;98,54;7898251;99,19;99,63;98,1
DIS;04/25/2023;98,01;6511394;99,37;99,71;98,01
DIS;01/13/2023;99,4;12230200;99,38;99,6;98,01
DIS;04/21/2023;99,57;9467979;98,16;99,72;97,72
DIS;04/12/2023;97,94;9289196;101,25;102,22;97,7
DIS;03/30/2023;98,1;7669482;98,73;98,92;97,67
DIS;03/02/2023;98,92;7783130;97,74;99,29;97,42
DIS;01/19/2023;99,08;10973550;98,12;99,45;97,12
DIS;04/27/2023;99,93;8166466;97,13;100,06;96,71
DIS;05/04/2023;97,45;13260720;99,54;99,54;96,61
DIS;03/09/2023;96,14;8275586;99,45;100,05;95,92
DIS;03/29/2023;96,87;5889123;96,08;96,91;95,35
DIS;03/21/2023;96,54;7285766;95,17;96,85;95,17
DIS;11/24/2023;96,06;5440468;94,9;96,51;94,9
DIS;03/22/2023;94,9;8811105;97,45;97,93;94,82
DIS;03/23/2023;95,83;9527009;95,28;97,02;94,76
DIS;11/22/2023;95,07;7330932;94,91;95,7;94,76
DIS;03/28/2023;94,82;5426053;95,51;96;94,59
DIS;03/27/2023;95,62;7487900;94,78;96,02;94,38
DIS;11/21/2023;94,45;7654843;94,73;94,96;93,96
DIS;11/17/2023;94,15;12201300;94,75;95,37;93,92
DIS;11/20/2023;95,03;14114770;93,98;95,58;93,87
DIS;01/10/2023;95,56;6914633;94,28;95,64;93,82
DIS;11/16/2023;94,51;12923920;93,89;94,61;93,63
DIS;12/13/2022;94,7;22882080;96,49;97,39;93,57
DIS;01/09/2023;94,77;11675840;94,43;95,7;93,45
DIS;06/13/2023;93,85;12964430;94,12;94,44;93,44
DIS;03/24/2023;94,08;9544154;94,81;95;93,02
DIS;03/20/2023;94,22;6657152;93,43;94,92;93
DIS;03/17/2023;93,2;12943190;94,05;94,27;92,91
DIS;03/10/2023;93,57;13978850;95,6;95,9;92,83
DIS;11/15/2023;93,93;20593050;92,99;94,56;92,74
DIS;12/14/2022;94,15;11505450;94,54;95,47;92,62
DIS;12/12/2022;94,66;14140680;93,73;94,66;92,61
DIS;05/18/2023;93,76;15014820;92,84;94,24;92,46
DIS;03/14/2023;93,36;10323630;94;94,3;92,34
DIS;11/30/2023;92,69;13396700;93,55;93,86;92,2
DIS;06/14/2023;92,45;15877380;94,26;94,52;91,92
DIS;03/16/2023;94,29;9946678;92,67;94,55;91,89
DIS;05/11/2023;92,31;57127240;94,8;95,11;91,88
DIS;06/07/2023;92,52;11082430;92,78;93,08;91,86
DIS;06/12/2023;93,14;12357610;92,25;93,22;91,77
DIS;12/01/2023;92,58;11898170;92,74;92,84;91,77
DIS;12/07/2023;92,35;10264680;91,8;93,39;91,65
DIS;06/15/2023;92,94;13354610;92,06;93,52;91,61
DIS;12/04/2023;92,01;12602810;91,9;92,41;91,61
DIS;06/09/2023;91,93;9634420;92,78;92,92;91,55
DIS;11/29/2023;92,5;13857040;92,6;93,24;91,44
DIS;03/15/2023;93,1;9543836;91,63;93,35;91,41
DIS;06/08/2023;92,53;9030165;92,52;92,68;91,3
DIS;05/12/2023;91,99;21837450;92,34;92,88;91,24
DIS;06/06/2023;92,16;12109080;91,1;92,51;91,02
DIS;06/16/2023;91,32;22683390;92,88;92,97;90,86
DIS;05/17/2023;92,77;12461590;91,02;93,05;90,85
DIS;05/16/2023;90,98;17013310;92,04;92,41;90,78
DIS;05/15/2023;92,86;16792050;91,54;92,87;90,7
DIS;12/06/2023;91,5;10462040;91,11;92,54;90,62
DIS;01/05/2023;91,92;11622620;91,66;92,48;90,51
DIS;03/13/2023;92,6;11915320;91,88;94,02;90,46
DIS;11/14/2023;91,07;13152030;90,03;91,54;89,99
DIS;05/22/2023;91,82;14150640;91,33;91,93;89,89
DIS;06/20/2023;89,75;14939190;90,29;90,78;89,74
DIS;06/02/2023;90,77;14350250;89,63;91,34;89,6
DIS;07/12/2023;90,15;14912080;90,11;90,7;89,57
DIS;06/05/2023;91;18506710;91,2;91,76;89,44
DIS;01/04/2023;91,98;14957210;90;92,74;89,36
DIS;07/05/2023;89,79;11028780;90,11;90,38;89,25
DIS;07/03/2023;90,5;7979547;89,11;90,95;88,91
DIS;08/11/2023;89,02;21998920;91,32;91,35;88,86
DIS;12/16/2022;90,08;26383880;90,19;91,08;88,81
DIS;06/27/2023;89,06;10032650;88,9;89,66;88,49
DIS;08/01/2023;89,03;13745080;89,12;89,73;88,46
DIS;05/24/2023;89,07;15350770;89,44;89,49;88,41
DIS;07/11/2023;89,49;13735510;88,19;89,59;88,15
DIS;06/22/2023;88,49;10915330;88,44;89,19;88,12
DIS;06/21/2023;88,64;17872960;89,55;89,67;88,11
DIS;05/26/2023;88,29;12892700;88,49;89,24;88,1
DIS;07/07/2023;88,64;9705123;88,31;89,73;88,08
DIS;08/14/2023;88,81;13676380;88,99;89,3;87,99
DIS;01/03/2023;88,97;14997140;88,98;89,97;87,83
DIS;05/25/2023;88,14;13605760;89,56;89,56;87,79
DIS;07/06/2023;88,74;12108530;88,67;88,83;87,78
DIS;06/26/2023;88,7;13132680;88,04;89,48;87,77
DIS;08/10/2023;91,76;56716750;89,97;92,53;87,75
DIS;06/23/2023;88,1;13538010;88,01;88,39;87,61
DIS;11/09/2023;90,34;51062700;87,84;91,21;87,6
DIS;06/29/2023;88,95;13402580;87,8;89,12;87,34
DIS;05/31/2023;87,96;11440580;87,58;88,17;87,15
DIS;06/01/2023;88,59;11993170;88,4;89,05;87,11
DIS;08/09/2023;87,49;32517920;89,2;89,56;87,04
DIS;05/30/2023;87,82;14800730;88,97;88,97;87,01
DIS;08/15/2023;87,06;13677870;87,99;88,23;86,89
DIS;07/31/2023;88,89;20837790;87;89,36;86,88
DIS;12/21/2022;86,92;11004830;87,19;88,09;86,48
DIS;08/02/2023;86,3;15162660;88,26;88,33;86,26
DIS;07/19/2023;87,04;17177010;86,2;87,89;86,19
DIS;08/08/2023;88,13;16767890;86,5;88,33;86,1
DIS;08/16/2023;86,35;12182720;86,54;87,06;86,08
